GPCD,Tem,Pre,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,Year,Byear,Month,Q1,Q2,Q3
148.201217,23.40741,0.38947,0,0,0,1,0,0,0,0,0,0,0,0,1998,2004,4,1,0,0
190.8501114,30.65134,0,0,0,0,0,1,0,0,0,0,0,0,0,1998,2004,5,1,0,0
222.8293445,35.82375,0,0,0,0,0,0,1,0,0,0,0,0,0,1998,2004,6,0,1,0
198.1572586,36.30268,2.62194,0,0,0,0,0,0,1,0,0,0,0,0,1998,2004,7,0,1,0
193.4128278,36.66667,3.26103,0,0,0,0,0,0,0,1,0,0,0,0,1998,2004,8,0,1,0
188.7390639,35.03704,0.98213,0,0,0,0,0,0,0,0,1,0,0,0,1998,2004,9,0,0,1
171.7625247,29.19355,0.09832,0,0,0,0,0,0,0,0,0,1,0,0,1998,2004,10,0,0,1
148.6065767,22.96296,0.82127,0,0,0,0,0,0,0,0,0,0,1,0,1998,2004,11,0,0,1
129.1769189,17.75986,0.40148,0,0,0,0,0,0,0,0,0,0,0,1,1998,2004,12,0,0,0
139.0422957,20.98566,0.01639,1,0,0,0,0,0,0,0,0,0,0,0,1999,2004,1,0,0,0
144.4085361,22.79762,0,0,1,0,0,0,0,0,0,0,0,0,0,1999,2004,2,0,0,0
154.1448348,25.28674,0.00819,0,0,1,0,0,0,0,0,0,0,0,0,1999,2004,3,1,0,0
158.3603887,24.7037,1.12607,0,0,0,1,0,0,0,0,0,0,0,0,1999,2004,4,1,0,0
194.3412913,32.68817,0,0,0,0,0,1,0,0,0,0,0,0,0,1999,2004,5,1,0,0
218.027703,36.68519,0.13547,0,0,0,0,0,1,0,0,0,0,0,0,1999,2004,6,0,1,0
168.2006439,35.12545,3.40852,0,0,0,0,0,0,1,0,0,0,0,0,1999,2004,7,0,1,0
178.0730124,36.5233,2.17129,0,0,0,0,0,0,0,1,0,0,0,0,1999,2004,8,0,1,0
171.5550169,34.88889,0.82127,0,0,0,0,0,0,0,0,1,0,0,0,1999,2004,9,0,0,1
175.4994293,32.52688,0,0,0,0,0,0,0,0,0,0,1,0,0,1999,2004,10,0,0,1
159.4136428,28,0,0,0,0,0,0,0,0,0,0,0,1,0,1999,2004,11,0,0,1
138.7435895,18.56631,0,0,0,0,0,0,0,0,0,0,0,0,1,1999,2004,12,0,0,0
138.5738527,21.38889,0.08194,1,0,0,0,0,0,0,0,0,0,0,0,2000,2004,1,0,0,0
146.5307875,22.66667,0.18143,0,1,0,0,0,0,0,0,0,0,0,0,2000,2004,2,0,0,0
142.9331702,23.05556,0.77839,0,0,1,0,0,0,0,0,0,0,0,0,2000,2004,3,1,0,0
175.5079994,30.27778,0.00847,0,0,0,1,0,0,0,0,0,0,0,0,2000,2004,4,1,0,0
209.9443083,35.83333,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,2004,5,1,0,0
204.2096077,36.66667,1.33773,0,0,0,0,0,1,0,0,0,0,0,0,2000,2004,6,0,1,0
200.2761887,38.33333,1.34374,0,0,0,0,0,0,1,0,0,0,0,0,2000,2004,7,0,1,0
188.1482369,36.16667,1.40929,0,0,0,0,0,0,0,1,0,0,0,0,2000,2004,8,0,1,0
188.400327,36.94444,0.0254,0,0,0,0,0,0,0,0,1,0,0,0,2000,2004,9,0,0,1
147.144514,26.22222,4.07219,0,0,0,0,0,0,0,0,0,1,0,0,2000,2004,10,0,0,1
128.6265908,18.55556,1.15993,0,0,0,0,0,0,0,0,0,0,1,0,2000,2004,11,0,0,1
130.9927757,20.44444,0.00819,0,0,0,0,0,0,0,0,0,0,0,1,2000,2004,12,0,0,0
121.6218202,16.16667,1.10613,1,0,0,0,0,0,0,0,0,0,0,0,2001,2004,1,0,0,0
126.8772186,19.16667,0.43543,0,1,0,0,0,0,0,0,0,0,0,0,2001,2004,2,0,0,0
138.2352605,23.72222,0.72923,0,0,1,0,0,0,0,0,0,0,0,0,2001,2004,3,1,0,0
156.0514013,27.44444,0.7112,0,0,0,1,0,0,0,0,0,0,0,0,2001,2004,4,1,0,0
194.0562203,35.16667,0.20484,0,0,0,0,1,0,0,0,0,0,0,0,2001,2004,5,1,0,0
213.5022413,38.38889,0.46567,0,0,0,0,0,1,0,0,0,0,0,0,2001,2004,6,0,1,0
189.4072885,36.44444,0.95045,0,0,0,0,0,0,1,0,0,0,0,0,2001,2004,7,0,1,0
188.9755771,37.11111,0.72103,0,0,0,0,0,0,0,1,0,0,0,0,2001,2004,8,0,1,0
200.4967525,36.61111,0.28787,0,0,0,0,0,0,0,0,1,0,0,0,2001,2004,9,0,0,1
171.7122274,30.88889,0.56535,0,0,0,0,0,0,0,0,0,1,0,0,2001,2004,10,0,0,1
155.4888225,24.33333,0.04233,0,0,0,0,0,0,0,0,0,0,1,0,2001,2004,11,0,0,1
129.2066233,17.38889,0.3851,0,0,0,0,0,0,0,0,0,0,0,1,2001,2004,12,0,0,0
131.2634998,18.65591,0.28677,1,0,0,0,0,0,0,0,0,0,0,0,2002,2004,1,0,0,0
